MAC_ADDRESS,CLIENT_NAME
38:CA:DA:60:7E:06,iphone-jun
38:53:9C:AF:41:EB,iphone-kaito
C8:8A:9A:D3:BB:C0,pc-kaito
C8:8A:9A:D3:73:B3,pc-jun
dc:68:eb:60:3f:ec,switch-kaito
bc:9e:bb:e8:e4:1f,switch-jun
E4:CE:8F:52:A1:08,imac-sekine
